column position,feature,assigned group,assignment type,n specific group matches,matched specific groups,duplicate name count,is duplicate feature name,is BandCenter
0,MagpieData minimum Number,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
1,MagpieData maximum Number,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
2,MagpieData range Number,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
3,MagpieData mean Number,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
4,MagpieData avg_dev Number,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
5,MagpieData mode Number,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
6,MagpieData minimum MendeleevNumber,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
7,MagpieData maximum MendeleevNumber,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
8,MagpieData range MendeleevNumber,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
9,MagpieData mean MendeleevNumber,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
10,MagpieData avg_dev MendeleevNumber,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
11,MagpieData mode MendeleevNumber,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
12,MagpieData minimum AtomicWeight,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
13,MagpieData maximum AtomicWeight,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
14,MagpieData range AtomicWeight,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
15,MagpieData mean AtomicWeight,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
16,MagpieData avg_dev AtomicWeight,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
17,MagpieData mode AtomicWeight,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
18,MagpieData minimum MeltingT,Bond strength (comp),specific rule,1,Bond strength (comp),1,False,False
19,MagpieData maximum MeltingT,Bond strength (comp),specific rule,1,Bond strength (comp),1,False,False
20,MagpieData range MeltingT,Bond strength (comp),specific rule,1,Bond strength (comp),1,False,False
21,MagpieData mean MeltingT,Bond strength (comp),specific rule,1,Bond strength (comp),1,False,False
22,MagpieData avg_dev MeltingT,Bond strength (comp),specific rule,1,Bond strength (comp),1,False,False
23,MagpieData mode MeltingT,Bond strength (comp),specific rule,1,Bond strength (comp),1,False,False
24,MagpieData minimum Column,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
25,MagpieData maximum Column,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
26,MagpieData range Column,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
27,MagpieData mean Column,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
28,MagpieData avg_dev Column,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
29,MagpieData mode Column,Periodic position (comp),specific rule,1,Periodic position (comp),1,False,False
30,MagpieData minimum Row,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
31,MagpieData maximum Row,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
32,MagpieData range Row,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
33,MagpieData mean Row,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
34,MagpieData avg_dev Row,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
35,MagpieData mode Row,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
36,MagpieData minimum CovalentRadius,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
37,MagpieData maximum CovalentRadius,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
38,MagpieData range CovalentRadius,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
39,MagpieData mean CovalentRadius,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
40,MagpieData avg_dev CovalentRadius,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
41,MagpieData mode CovalentRadius,Atomic size (comp),specific rule,1,Atomic size (comp),1,False,False
42,MagpieData minimum Electronegativity,Ionicity,specific rule,1,Ionicity,1,False,False
43,MagpieData maximum Electronegativity,Ionicity,specific rule,1,Ionicity,1,False,False
44,MagpieData range Electronegativity,Ionicity,specific rule,1,Ionicity,1,False,False
45,MagpieData mean Electronegativity,Ionicity,specific rule,1,Ionicity,1,False,False
46,MagpieData avg_dev Electronegativity,Ionicity,specific rule,1,Ionicity,1,False,False
47,MagpieData mode Electronegativity,Ionicity,specific rule,1,Ionicity,1,False,False
48,MagpieData minimum NsValence,d/p electron count (comp),specific rule,1,d/p electron count (comp),1,False,False
49,MagpieData maximum NsValence,d/p electron count (comp),specific rule,1,d/p electron count (comp),1,False,False
50,MagpieData range NsValence,d/p electron count (comp),specific rule,1,d/p electron count (comp),1,False,False
51,MagpieData mean NsValence,d/p electron count (comp),specific rule,1,d/p electron count (comp),1,False,False
52,MagpieData avg_dev NsValence,d/p electron count (comp),specific rule,1,d/p electron count (comp),1,False,False
