feature,group,fold_0,fold_1,fold_2,fold_3,fold_4,mean,std,rank
MagpieData mode MeltingT,Bond strength (comp),0.247572869062,0.275965541601,0.260123342276,0.269247084856,0.241943627596,0.258970469236,0.014279259369,1
MagpieData mean NdValence,d/p electron count (comp),0.186784178019,0.163354367018,0.172419935465,0.171216130257,0.171245396137,0.173004001379,0.008509391919,2
MagpieData maximum Electronegativity,Ionicity,0.145812600851,0.138763189316,0.154730975628,0.126782894135,0.151025906205,0.143423110247,0.011067877524,3
MagpieData mean GSbandgap,Band-gap prior (comp),0.116274192929,0.108397126198,0.152570083737,0.122357584536,0.146048739552,0.129129543900,0.019213736057,4
MagpieData maximum NdValence,d/p electron count (comp),0.093566164374,0.095740661025,0.131929576397,0.108399465680,0.106457009912,0.107218578458,0.015254006721,5
MagpieData maximum NValence,Valence total (comp),0.063139334321,0.077824681997,0.074442476034,0.076794259250,0.079162143171,0.074272580445,0.006458756514,6
MagpieData mean Electronegativity,Ionicity,0.078554913402,0.069498181343,0.066363580525,0.063438132405,0.082097314298,0.071990422904,0.008004000410,7
MagpieData mean NpValence,d/p electron count (comp),0.076208904386,0.069542221725,0.076374486089,0.076151832938,0.060971226543,0.071849733591,0.006738885771,8
MagpieData mean CovalentRadius,Atomic size (comp),0.073957554996,0.062762692571,0.070146568120,0.084468767047,0.061279237270,0.070522964001,0.009382054210,9
MagpieData mean MendeleevNumber,Periodic position (comp),0.052586887032,0.115183748305,0.040256254375,0.081789597869,0.061441197991,0.070251539350,0.029331764206,10
MagpieData mean Row,Atomic size (comp),0.076698094606,0.066890500486,0.062446787953,0.051133126020,0.071975134313,0.065828733146,0.009803660214,11
MagpieData mean Column,Periodic position (comp),0.044993661344,0.095751382411,0.041745807976,0.079374983907,0.059651505202,0.064303472638,0.023018900305,12
MagpieData mean MeltingT,Bond strength (comp),0.058864954859,0.059862568974,0.059678331017,0.062012676150,0.058381892741,0.059760082513,0.001395710045,13
MagpieData avg_dev GSbandgap,Band-gap prior (comp),0.068088732660,0.070202045143,0.042352262884,0.068151116371,0.046826999635,0.059124231339,0.013389227912,14
MagpieData mean GSvolume_pa,Atomic size (comp),0.056673604995,0.047631215304,0.063811466098,0.058081034571,0.057971268892,0.056833721697,0.005836319178,15
