Feature group,n columns,Group SHAP share,Mean share/column,Deletion ΔMAE
Coordination fingerprint,122,26.177936553955,0.214573250442,-0.005314642971
Global symmetry,12,11.825776100159,0.985481341680,0.028701212937
d/p electron count (comp),24,11.230585098267,0.467941045761,NA
Bond strength (comp),6,9.607297897339,1.601216316223,NA
Periodic position (comp),24,8.000446319580,0.333351929983,NA
Bond length / packing,11,6.515593051910,0.592326641083,NA
Atomic size (comp),24,6.428045749664,0.267835239569,NA
Ionicity,6,6.286172389984,1.047695398331,NA
Unfilled orbitals (comp),30,5.523901462555,0.184130048752,NA
Valence total (comp),6,2.661830186844,0.443638364474,NA
Band-gap prior (comp),6,1.946410179138,0.324401696523,NA
Chemical ordering,3,1.728639245033,0.576213081678,NA
Magnetic moment (comp),6,1.166685581207,0.194447596868,NA
BandCenter (L2 only),1,0.642706274986,0.642706274986,NA
Other structure,1,0.215325027704,0.215325027704,NA
Dimensionality,1,0.042650621384,0.042650621384,NA
Structural total,150,46.505920410156,0.310039469401,NA
