mbid,y_true,y_pred_v2,abs_err
mb-mp-gap-057832,0.0,6.503022666666666,6.503022666666666
mb-mp-gap-047184,0.0,6.473391666666662,6.473391666666662
mb-mp-gap-056855,7.0874,0.8546663333333332,6.232733666666666
mb-mp-gap-051177,0.0,6.187650999999999,6.187650999999999
mb-mp-gap-000817,0.0,5.7913110000000065,5.7913110000000065
mb-mp-gap-101973,6.8746,1.3492883333333339,5.525311666666666
mb-mp-gap-029475,0.06010000000000004,5.41624,5.35614
mb-mp-gap-004868,0.0,5.29742733333333,5.29742733333333
mb-mp-gap-017654,0.0,5.218068333333334,5.218068333333334
mb-mp-gap-076578,0.04190000000000005,5.152760666666668,5.110860666666668
mb-mp-gap-083672,0.0,5.087907666666658,5.087907666666658
mb-mp-gap-031587,0.0021999999999999797,5.0755569999999945,5.073356999999994
mb-mp-gap-031546,0.0021999999999999797,5.0755569999999945,5.073356999999994
mb-mp-gap-005735,0.23519999999999985,5.263944000000007,5.028744000000007
mb-mp-gap-105017,0.0,5.002015,5.002015
mb-mp-gap-089358,5.7442,0.755953333333334,4.988246666666666
mb-mp-gap-017783,0.06400000000000006,5.047179999999993,4.983179999999993
mb-mp-gap-006040,0.44580000000000003,5.424102999999997,4.978302999999997
mb-mp-gap-002132,0.3052,5.282612,4.977412
mb-mp-gap-005967,0.0,4.926054666666666,4.926054666666666
mb-mp-gap-017620,0.0,4.876837666666662,4.876837666666662
mb-mp-gap-033580,0.03060000000000007,4.906497000000002,4.875897000000002
mb-mp-gap-093627,6.4852,1.6519063333333328,4.833293666666667
mb-mp-gap-081634,0.0,4.815312999999994,4.815312999999994
mb-mp-gap-003747,0.9787000000000001,5.781510666666666,4.802810666666666
mb-mp-gap-010596,0.021399999999999864,4.8124496666666685,4.791049666666669
mb-mp-gap-001807,0.0,4.7810790000000045,4.7810790000000045
mb-mp-gap-065728,5.5008,0.7455066666666669,4.755293333333333
mb-mp-gap-001750,0.0,4.728231333333329,4.728231333333329
mb-mp-gap-017651,0.0,4.717197333333338,4.717197333333338
mb-mp-gap-047213,0.0,4.706925666666664,4.706925666666664
mb-mp-gap-087160,0.01750000000000007,4.686491666666665,4.668991666666665
mb-mp-gap-004807,0.0,4.644757333333333,4.644757333333333
mb-mp-gap-060859,5.467700000000001,0.8259576666666671,4.641742333333333
mb-mp-gap-015838,0.31800000000000006,4.922115333333333,4.604115333333333
mb-mp-gap-023549,1.0042,5.608117666666661,4.603917666666661
mb-mp-gap-078470,0.0,4.602995333333332,4.602995333333332
mb-mp-gap-038919,0.0,4.5893566666666645,4.5893566666666645
mb-mp-gap-011850,0.021000000000000796,4.574090666666676,4.553090666666675
mb-mp-gap-021222,0.0,4.518194000000002,4.518194000000002
mb-mp-gap-051812,5.3416,0.8303133333333339,4.511286666666666
mb-mp-gap-009651,0.43389999999999995,4.930472666666666,4.496572666666665
mb-mp-gap-086663,5.9272,1.4339460000000015,4.4932539999999985
mb-mp-gap-026565,0.27090000000000014,4.763028000000002,4.492128000000002
mb-mp-gap-016573,0.2530999999999999,4.717772666666661,4.464672666666661
mb-mp-gap-049011,0.0,4.429144,4.429144
mb-mp-gap-007866,0.0,4.396381000000003,4.396381000000003
mb-mp-gap-004073,0.0,4.378188666666665,4.378188666666665
mb-mp-gap-037812,0.0,4.372640666666663,4.372640666666663
mb-mp-gap-006729,0.8216,5.179664999999996,4.358064999999996
