mbid,y_true,y_pred_v2,abs_err
mb-mp-gap-000817,0.0,6.029141426086426,6.029141426086426
mb-mp-gap-037812,0.0,5.180611610412598,5.180611610412598
mb-mp-gap-047184,0.0,4.931020736694336,4.931020736694336
mb-mp-gap-017783,0.06400000000000006,4.969046115875244,4.905046115875244
mb-mp-gap-081634,0.0,4.893189430236816,4.893189430236816
mb-mp-gap-037734,0.0,4.618741989135742,4.618741989135742
mb-mp-gap-001807,0.0,4.574671745300293,4.574671745300293
mb-mp-gap-057960,0.0,4.429249286651611,4.429249286651611
mb-mp-gap-004807,0.0,4.342421054840088,4.342421054840088
mb-mp-gap-031587,0.0021999999999999797,4.340409278869629,4.338209278869629
mb-mp-gap-031546,0.0021999999999999797,4.340409278869629,4.338209278869629
mb-mp-gap-100439,0.0,4.328774929046631,4.328774929046631
mb-mp-gap-049011,0.0,4.290371894836426,4.290371894836426
mb-mp-gap-001234,0.12259999999999982,4.40153694152832,4.27893694152832
mb-mp-gap-038919,0.0,4.231253623962402,4.231253623962402
mb-mp-gap-057832,0.0,4.224960803985596,4.224960803985596
mb-mp-gap-009651,0.43389999999999995,4.657698631286621,4.223798631286622
mb-mp-gap-005735,0.23519999999999985,4.4477996826171875,4.212599682617188
mb-mp-gap-011850,0.021000000000000796,4.2163987159729,4.1953987159729
mb-mp-gap-076578,0.04190000000000005,4.222357749938965,4.180457749938965
mb-mp-gap-051177,0.0,4.140674591064453,4.140674591064453
mb-mp-gap-059484,0.0,4.106990814208984,4.106990814208984
mb-mp-gap-044983,0.0,4.10222864151001,4.10222864151001
mb-mp-gap-017611,0.3938999999999999,4.459135055541992,4.065235055541992
mb-mp-gap-003747,0.9787000000000001,5.006876468658447,4.028176468658447
mb-mp-gap-031532,0.1075999999999997,4.129114151000977,4.021514151000977
mb-mp-gap-004073,0.0,4.020893573760986,4.020893573760986
mb-mp-gap-037592,0.0,3.9978232383728027,3.9978232383728027
mb-mp-gap-010630,0.0,3.960270404815674,3.960270404815674
mb-mp-gap-073909,0.0,3.9355380535125732,3.9355380535125732
mb-mp-gap-014517,0.19170000000000004,4.1212592124938965,3.9295592124938965
mb-mp-gap-028482,0.0,3.9240875244140625,3.9240875244140625
mb-mp-gap-056855,7.0874,3.195535182952881,3.891864817047119
mb-mp-gap-059456,0.22920000000000007,4.093706130981445,3.8645061309814452
mb-mp-gap-079662,5.6651,1.8294854164123535,3.8356145835876463
mb-mp-gap-032529,0.0,3.8287160396575928,3.8287160396575928
mb-mp-gap-101973,6.8746,3.051804304122925,3.8227956958770752
mb-mp-gap-025611,0.0,3.791858673095703,3.791858673095703
mb-mp-gap-065728,5.5008,1.7131092548370361,3.787690745162964
mb-mp-gap-030878,0.0,3.772740125656128,3.772740125656128
mb-mp-gap-029475,0.06010000000000004,3.813800573348999,3.7537005733489988
mb-mp-gap-033375,0.20950000000000024,3.957871437072754,3.7483714370727537
mb-mp-gap-099323,6.077,2.3320209980010986,3.7449790019989013
mb-mp-gap-089358,5.7442,2.003265142440796,3.7409348575592043
mb-mp-gap-072205,0.0,3.7373993396759033,3.7373993396759033
mb-mp-gap-003785,0.0,3.7339539527893066,3.7339539527893066
mb-mp-gap-030514,0.0,3.704119920730591,3.704119920730591
mb-mp-gap-060859,5.467700000000001,1.764275312423706,3.7034246875762946
mb-mp-gap-019359,0.0,3.7030115127563477,3.7030115127563477
mb-mp-gap-015838,0.31800000000000006,4.0141706466674805,3.6961706466674804
